,PT,Deterministic,PT_10,PT_20,PT_50
68,152441.46427539963,349715.9954346118,175403.42676987976,175401.69537271882,155769.1427401223
69,210835.833405433,203515.65811270478,207191.9054092558,214865.93347765176,212622.05997582665
70,257215.38812413905,418352.61513581296,336629.4361213873,299003.27751404385,260318.86012982202
71,236437.34537330462,782395.6782603842,332131.3515462283,321105.38394831726,261442.83335333102
72,176858.71526744633,284255.90186925605,231275.30467016378,193440.27625959401,182199.4706722317
73,207606.6048708319,208509.4461272723,201053.18143304705,206945.63271105615,209293.5248238736
74,179731.63249724216,423765.11406957713,230442.76270109025,217801.010664688,202919.95013963262
75,226965.05148586,499791.9181055189,323572.83237354166,305658.7999030085,262408.8727738974
76,255164.4071700602,1120558.709973745,429176.23106769787,315786.1315721493,309092.0499068737
77,383177.5784282792,915729.8622276587,657293.0718111119,507658.1835506469,413003.0597064794
78,182604.43535137686,414677.2978542446,269343.28339089913,231381.33243113116,222344.9896230873
79,222787.27615357906,769818.0216412579,313864.5899163076,270392.30853796564,238708.77146694995
80,316770.5600134692,1177011.0174913,630724.1401256827,487349.0913722336,382036.1836517288
81,278362.14408452524,1052661.8441664223,513132.2475876291,379771.43013368436,303820.9796523751
82,229066.72730288067,599821.6222362733,401239.5284254939,340658.6250613746,271860.15264682035
83,184359.6752558724,320883.4938271662,256790.78021484427,246967.07652129006,210928.19720640496
84,220889.70479460352,218662.77679881977,217451.41840571025,216281.3569015744,220513.31293480963
85,305371.95382343023,297269.851008332,287341.67546942795,297409.9214597278,309162.2134911596
86,297057.16326857585,277342.7248758928,307969.7586333696,299620.3499050129,305874.9343540778
87,307011.94571348885,423404.9930722142,487745.5010368645,401751.77079835365,323600.6531966695
88,263827.60553153104,265674.2087089716,255171.29006336507,252009.12608218205,258388.47362921957
89,225489.0233966127,215705.78356262596,212757.21194245745,215732.7938799144,220551.4314560485
90,215018.28216570502,209215.2257206595,207149.47760019742,206932.66925304598,215513.9529691548
91,217695.56907614873,315078.50146169896,228184.0718607048,228578.96034359658,221345.87028181524
92,247925.8177346976,511530.41434342455,309870.3249864934,339782.79124889063,281700.60198150476
93,319454.2574383775,1129666.223916736,624140.7108792248,516992.79679720127,250331.74563979247
94,259865.92210581427,697409.6669418126,509349.1284680523,407529.1530595806,349360.1747647852
95,230737.9773611922,496033.1336831746,357829.42410418624,343782.0308022194,275292.8413177929
96,182576.75318060003,803405.3721089492,309956.6206610926,314049.08951450605,221377.56429350685
97,261477.12843648708,965114.2634314733,428685.3464279014,353794.83386129705,291896.778969227
98,188571.8008649863,483421.19404724357,304600.7242350185,240440.12117190438,254383.87663409015
99,215730.53924083797,636561.0355379982,323570.28811177006,252371.5057006408,259373.02742417442
100,253391.4361902172,1183903.09574313,447686.2440428728,291750.25836388965,427875.9680272173
101,274569.45425943146,761016.128590507,679172.8862536955,356654.81790025963,209935.13609853276
102,235542.68860524392,674532.4205590226,488167.7082626325,340632.4779692881,295578.30152704066
103,226424.14940850716,806292.6929168906,387811.899469739,404655.74171318137,284844.27181846614
104,277744.21277738054,863720.0579543425,444114.07417636015,347467.62278138235,289585.3886613757
105,290866.0216453717,797345.4886575772,489018.12627423805,485775.51451522094,314882.98462316685
106,211659.52262424107,676430.98817376,381059.7146509703,285389.5388141003,255251.1456730398
107,166595.12633998677,879869.0425506257,319190.51546460507,248265.33513419653,206009.12972463339
108,233145.17785328178,948435.8816339399,488897.0975581581,227477.07763409597,208388.36250468844
109,234460.1360980868,594888.8606631805,348059.0674391944,328652.73362413433,218553.45594505218
110,206234.97222232496,507664.35428321175,345709.2823118705,262386.55419582396,208462.28701998873
