,LR_PO,NN_PO,LR_DO,NN_DO
215,26125.38949952236,28631.52767050703,30643.393809599755,31488.44193892913
216,27010.22891723739,29555.684593378028,31275.112214393943,32340.280496723823
217,28264.485944504126,30515.229872052238,32173.406146845024,33597.86643179574
218,28685.732652422143,30907.86471783149,32516.44889429142,33902.348624081904
219,28059.789758096365,30452.630566091346,32133.070936731972,33550.07935466927
220,27198.62370909078,29761.07008793563,31533.206557746285,32780.666653640634
221,27000.12850907142,29552.11124594088,31372.687173805527,32534.042044886697
222,26756.41302224636,29284.0521264844,31169.529389414125,32203.367129954957
223,26668.511369353997,29354.80003950234,31065.225546907746,32178.232232880637
224,26739.90028321209,29273.973549506463,31055.238010628844,32002.471892731934
225,27595.667061372824,29777.754689514,31514.52277673603,32367.259200200293
226,29780.7673934627,30565.672922225058,32546.44215969004,32966.59870168644
227,31542.30319575605,32937.69850529295,33680.07502179152,34699.2158875214
228,32606.65234404129,34391.44448709713,34553.679941765375,34772.9478946
229,33015.73257731726,34587.8299147181,34772.9478946,34772.9478946
230,33624.15745284913,34062.15657837643,34772.9478946,34772.9478946
231,34626.70930102538,34772.9478946,34772.9478946,34772.9478946
232,34772.9478946,34772.9478946,34772.9478946,34772.9478946
233,34772.9478946,34772.9478946,34772.9478946,34772.9478946
234,34772.9478946,34772.9478946,34772.9478946,34772.9478946
235,34772.9478946,34523.657558439096,34772.9478946,34772.9478946
236,34772.9478946,34772.9478946,34772.9478946,34772.9478946
237,34772.9478946,34069.18558224502,34772.9478946,34772.9478946
238,34772.9478946,34189.19359696503,34772.9478946,34772.9478946
239,34772.9478946,34583.666080093964,34772.9478946,34772.9478946
240,34772.9478946,34515.59729221341,34772.9478946,34772.9478946
241,33759.55064896612,34005.27686949545,34772.9478946,34772.9478946
242,33326.520789553404,33872.179896315625,34772.9478946,34772.9478946
243,32432.93484570054,33604.362603715956,34772.9478946,34772.9478946
244,31776.18512585185,33322.55030029138,34727.073829757835,34727.75746600826
245,31822.101455961143,33429.3427821103,34748.75476144686,34772.9478946
246,31711.548087509993,33483.20299382715,34614.901037858275,34772.9478946
247,31628.403543388922,33585.48907716715,34471.69840193132,34772.9478946
248,33122.969230914,34408.038338284816,34772.9478946,34772.9478946
249,32537.915455035974,34697.10324832803,34347.950054410365,34772.9478946
250,30768.846034897422,32496.547908424927,32862.00338959514,34429.12950130002
251,29707.561846064156,30437.01429924656,32110.411092539343,33232.64180382665
252,30604.49806441686,30729.4932282459,33029.83947298084,33010.06900974919
253,32515.048911297064,33074.8883617358,34768.73651699363,34416.943634060095
254,29535.24270499099,30476.90498921177,31764.517749327737,33254.08386254634
255,31495.239102548203,32433.739812697626,33643.758724373525,34442.757852676965
256,31211.24019662,32715.388149965263,33347.31743474599,34526.91371497138
257,28938.68691222587,29406.830263494576,31337.433985570784,32320.890453556
258,27197.92464658033,26733.87487531469,30164.891791855567,30085.18937579676
259,26571.788987509146,25975.793838232476,29774.489765669503,29371.898969159996
260,26775.809336074577,26174.018238621542,29929.436390494546,29547.57128781652
261,26579.75783563494,26054.833886756463,30198.36179007195,29251.505541072518
262,26993.509014163476,28924.207260638937,31015.963471108895,31618.413684643212
263,26569.841831333855,28587.097022417456,30921.01080897489,31296.3228392958
264,25923.05897780944,27841.96373781289,30552.993646910898,30592.299539732812
265,24800.494644164573,26660.301913666466,29769.302303797922,29710.187627041953
266,24373.843555974723,25748.177226855765,29514.033938062585,28840.112595345025
267,24118.92959867492,25355.98504325091,29369.442728259484,28477.1964993872
268,24551.775170346093,25871.99350653097,29685.8802248928,28866.178569364325
269,24908.06944892916,26204.161070882867,29929.33420195481,29114.817221337744
270,24762.173012777643,25805.17985229278,29802.27157816961,28757.31990494599
271,24879.99175415719,25706.514030219536,29833.28487099212,28673.644677158347
272,25448.41457744021,27251.256380974082,30125.865524037836,30190.96891371557
273,26408.188851342093,28331.333971251137,30665.25704767582,31132.604025074645
274,27952.256757734398,28219.328828795722,31521.105344421663,31035.178168032402
275,29683.488548569665,30058.753200567604,32716.92213929468,32356.039595277558
276,31149.42936814183,31558.795729329056,33708.016968378324,33422.89921406338
277,31927.21119445133,32463.014042371207,34285.62410279326,33761.34800603203
278,32016.06250402318,32517.713709717307,34378.473742198046,33790.59123077367
279,32488.482445679747,33083.49089493129,34698.90817518421,34264.52710458019
280,33030.76137618192,33785.42629683017,34772.9478946,34772.9478946
281,32510.546809381744,33958.34242799739,34772.9478946,34772.9478946
282,31305.100138118898,33449.35826559063,34002.167086434005,34772.9478946
283,31570.43779096492,33078.662950922226,34272.878462989946,34207.788253311366
284,30470.239044967584,32504.885332033806,33660.170784471484,33993.26065845615
285,29314.81505738456,31417.79412423079,32907.81288623108,33197.89955829058
286,29016.545754129205,31211.80780750889,32720.43138664781,33208.809230017236
287,28739.69098836181,31240.718106633012,32542.734341424468,33745.29987648353
288,28561.722214521447,30904.214961236223,32472.48506203109,33506.20540187457
289,28794.41202240258,31265.40290963914,32592.419802923174,33814.42165630128
290,29835.921799810614,32158.675901089067,33348.289270983536,34436.878295695366
291,30352.32740491555,32550.2589016491,33738.49330687387,34347.16810886556
292,29875.55887639994,32024.11890914779,33388.309090103496,34390.18936797018
293,29892.550043597512,32014.081672079108,33379.58822722394,34442.0112957202
294,29841.830619874047,31867.71238168464,33320.49677513609,34477.980500473124
295,29977.733481332954,31916.487436192987,33378.24897673672,34601.174489681434
296,30146.356184227927,31808.9509521308,33405.703553663,34333.84867460546
297,30210.598867705085,32172.101152743286,33237.32889022356,34262.82421385187
298,29711.19511314506,30982.918948812494,32632.88832263124,33366.71583879434
299,29980.20876646133,30860.135702375326,32741.963208709785,33323.4537398813
300,30286.554215809196,31330.452882580194,33028.028297237404,33689.052285007136
301,31242.578867042892,32410.650776638115,33742.300526718995,34431.56591414013
302,32851.83458478155,33819.32589334513,34772.9478946,34772.9478946
303,33249.429174561454,33262.641456009005,34772.9478946,34772.9478946
304,33709.36202503257,33728.754855160565,34772.9478946,34772.9478946
305,33594.986805195374,33876.14997914596,34772.9478946,34772.9478946
306,33537.83310329223,34239.17575359898,34772.9478946,34772.9478946
307,33014.633353775076,34226.56446850074,34772.9478946,34772.9478946
308,32921.45656588898,34106.69092460916,34772.9478946,34772.9478946
309,32195.926875275603,32311.70927775427,34677.17992323389,34313.881643589004
310,31920.808617943643,32218.311971644354,34552.45264869392,34309.749365482676
311,31468.177022513177,32455.310652202043,34304.9926050814,34605.43004722923
312,31166.097944699195,32773.778217075844,34133.81919494834,34772.9478946
313,31571.160310390176,33344.69792442859,34488.5492631026,34772.9478946
314,30613.784680211862,32796.173996791935,33871.22652368924,34578.83444916884
315,29909.96761570179,31980.529690784257,33413.07808253157,33954.32705706423
316,28691.2912444903,31067.210327045395,32510.156402710625,33400.34991929101
317,28278.633483336922,30820.497696799277,32240.04631281235,33671.6805816224
318,27462.690508097206,29974.226556446632,31655.168115425317,32839.62595736687
319,25409.23456231951,27990.94998381127,30169.18185255094,30985.02751643123
320,24728.963595337576,26630.947791134546,29586.184621035056,29908.481236942025
321,25825.969646208276,27540.993405655023,30243.21930756159,30645.3391078016
322,28420.86274439208,29158.92922698069,31642.911993564325,31757.31438626322
323,29398.751794935248,29898.921034556555,32123.5404619217,32511.004567590415
324,30348.457246219812,31183.823940396127,32718.630778128365,33610.75414850629
325,31081.200634875007,32215.273952807405,33195.00402279255,34511.315156936034
326,31808.74053663762,32173.72107334475,33667.059221036274,34427.50946457522
327,32427.966856942705,32150.876593040557,34092.952546367,34290.95793813568
328,32702.950875692924,32279.50084351024,34258.78149587198,34260.03109914025
329,32588.242149621507,32133.964854207963,34136.78173361389,34152.678322202904
330,32610.398947502625,32157.800563347573,34142.072777505295,34152.51040785239
331,32838.50478651331,32375.413148931017,34355.24564843816,34182.35671916347
332,32926.45695305884,32394.899574471543,34321.77370515582,34197.965089621095
333,32300.452977855904,31885.024049302283,34526.54839094183,34355.689297660945
334,31745.33626367964,31223.88138347845,34245.58599424715,33941.430979473145
335,33061.69233755594,32217.83168550761,34772.9478946,34250.01906083649
336,33471.918011463655,32394.814572186217,34772.9478946,34196.66810802986
337,34267.6617960982,33144.82979815324,34772.9478946,34683.83970568331
338,34772.9478946,33618.876163318346,34772.9478946,34772.9478946
339,34772.9478946,33904.339907126625,34772.9478946,34772.9478946
340,34772.9478946,34261.79478043739,34772.9478946,34772.9478946
341,34624.1277194941,33152.439941279896,34772.9478946,34525.15987512736
342,34234.89109263895,32748.748527748117,34772.9478946,34310.17449303264
343,34028.611332235334,32784.00032250277,34772.9478946,34348.5680047674
344,33516.66950834332,32611.38413792433,34772.9478946,34447.298565603036
345,33503.46907147652,33244.307090130635,34772.9478946,34772.9478946
346,31334.455421884224,30874.713362061728,33247.74201854578,33432.986384168515
